[0.00s - 1.70s]:  Architekt Prazdnoty,
[216.00s - 220.00s]:  a nartech lehký ironický úsměv.
[220.00s - 225.00s]:  Gdyž forenzní technici a datový detektivové analizovali jeho tělo,
[225.00s - 229.00s]:  narazili nagnet několik věci, které nedávali smysl.
[229.00s - 233.00s]:  Absolutní vymazání. Jeho v nítřní pevní disk
[233.00s - 237.00s]:  i záložní neurokapsle byly kompletně sformátované.
[237.00s - 242.00s]:  Nešlo oselhání hardwareu, data byla přepsa na čistým binárním kodem,
[242.00s - 247.00s]:  který tvořil dokona lý nekoneční vzorec v čelí plastve.
[247.00s - 253.00s]:  Biologický paradoks. Jeho organické serce se nezastavilo selháním věku
[253.00s - 256.00s]:  ani kvůli toksickému prostředí.
[256.00s - 261.00s]:  Podlepitevní správy se prostě rozhodlo přestat být v jeden přesný moment,
[261.00s - 265.00s]:  jako by dostalo sovtverový příkaz Shadda.
[265.00s - 267.00s]:  Termální anomálie.
[267.00s - 271.00s]:  V momentě smrtí teplo ta jeho kiberneticích implantátů
[271.00s - 274.00s]:  kleslana absolutní nulu během jediné sekundy,
[274.00s - 279.00s]:  což odporovalo všem fizikálním zákonům tehdejší mechanroniky.
[279.00s - 283.00s]:  Nejděvnější však byl náles na jeho pracovním stole.
[283.00s - 289.00s]:  Ležila tam prázdná skleněná láhev odmédů zgravýrováním mechanronické v čelí
[289.00s - 295.00s]:  a napisem Hany Super Fuel Cell, Fuel for the next 50 years.
[295.00s - 299.00s]:  A v ten moment to datovím analitikům došlo.
[299.00s - 306.00s]:  Przezně před 50 lety v den Rudových 50. narozenín se věho kanceláři oběvil záhadní týpek
[306.00s - 311.00s]:  z pocvětí, kterému nikdo neřekl jinak než krtek.
[311.00s - 316.00s]:  Nikdo nevěděl odkud příšel, ale přineslo Rudovy tu hle jedinou láhev.
[316.00s - 324.00s]:  Palivo pro další pulstoletí architekte, zašeptal tehde a zmízel v hlubokých túnelách subněsta.
[324.00s - 327.00s]:  Ruda Miller možná vůbec neumřel.
[327.00s - 332.00s]:  Tá láhev neobsahovala obyčejný met, ale tekutý nano-fuel cell.
[332.00s - 338.00s]:  Nanotechnologické palivo, které po 50 letech dokončilo svou práci.
[338.00s - 344.00s]:  V terzinu před tím nešiho srdce udělalo šád dau, se Rudovo vědomí nerospadlo
[344.00s - 348.00s]:  ale kompletně asimilovalo do globalního AGI.
[348.00s - 353.00s]:  Stal se součástí Super Deep Mind, který teď řídi celou planetu.
[353.00s - 355.00s]:  Ale to nikdo neví.
[355.00s - 359.00s]:  Pro svět zůstali en prázdnou s hrankou v krtesle.
[359.00s - 363.00s]:  Ale když se dnes podíváte na mrakodrapinovego Berlina,
[363.00s - 367.00s]:  jejich neonová světla už neblikají náhodně.
[367.00s - 370.00s]:  Půlzují v dokonalém v cellím algoritmu.
[370.00s - 376.00s]:  Archivní záznam, 10. června 2006.
[376.00s - 379.00s]:  Je Ruda Miller opravdu prič.
[379.00s - 382.00s]:  Nebo teď běha uvnitř samotné sítě.
[382.00s - 391.00s]:  Nakuj vzdouche ventureite.
[391.00s - 395.00s]:  platinum ret那個.
[395.00s - 402.00s]:  In fade un tokrít manupi weigh-upy ten jag.
[402.00s - 405.00s]:  blink lift WE c� by Without your fill first.
[405.00s - 411.00s]:  F�� yo pribo touhli bez monou just trouve my lens.
